Datum;Uhrzeit;Aufgabe / Task;Kanal;Prioritaet;Erinnerung;Status;Details
2026-07-30;16:00;Instagram Posts 01-06 in Canva / Meta Business Suite vorplanen;Instagram / FB;Sehr Hoch;30 Min vorher;Offen;Die 6 vorbereiteten Posts/Reels vorplanen für die Urlaubszeit (01.08. - 12.08.).
2026-07-31;10:00;E-Mail an Pfeiffer & May Vertriebsleitung senden;Vertriebspartner;Hoch;1 Tag vorher;Offen;Partner-Deal Vorschlag an Pfeiffer & May senden.
2026-08-01;09:00;[AUTO-PILOT] Social Media Launch Post 01;LinkedIn / Insta / FB;Mittel;Keine (Auto-Pilot);Offen;Post 01: Die echten Kosten der Windschutzscheiben-Zeit.
2026-08-03;08:30;[AUTO-PILOT] openPR Pressemitteilung 1/6;openPR Portal;Hoch;Keine (Auto-Pilot);Offen;Meldung: Fehlfahrten im SHK-Handwerk vermeiden: tele-LOOK bietet Video-Support ohne App.
2026-08-03;10:00;[AUTO-PILOT] Instagram Post 02 Carousel;Instagram / FB;Mittel;Keine (Auto-Pilot);Offen;Post 02: Die DSGVO-Falle WhatsApp im Kundendienst.
2026-08-05;10:00;[AUTO-PILOT] Instagram Reel 02;Instagram;Mittel;Keine (Auto-Pilot);Offen;Reel 02: Vorab-Diagnose ohne App-Download (SMS-Link).
2026-08-08;10:00;[AUTO-PILOT] Instagram Post 03 Carousel;Instagram / FB;Mittel;Keine (Auto-Pilot);Offen;Post 03: Der tele-PUNKT: AR-Zeiger im Live-Bild.
2026-08-10;10:00;[AUTO-PILOT] Instagram Reel 03;Instagram;Mittel;Keine (Auto-Pilot);Offen;Reel 03: Azubi alleine auf der Baustelle?
2026-08-12;10:00;[AUTO-PILOT] Instagram Post 04 Carousel;Instagram / FB;Mittel;Keine (Auto-Pilot);Offen;Post 04: Der ROI-Rechner: 3.500 € monatlich sparen.
2026-08-17;09:00;Social-Media Kommentare & DMs nach Urlaub sichten;Community Mgmt;Hoch;1 Tag vorher;Offen;Urlaubs-Kommentare & DMs auf Insta/LinkedIn beantworten.
2026-08-18;10:00;Telefonisches Follow-Up bei Pfeiffer & May;Vertriebspartner;Sehr Hoch;1 Tag vorher;Offen;Pfeiffer & May anrufen & Termin für Pilot-Phase abstimmen.
2026-08-19;09:30;Brevo E-Mail Kampagne 1 (Regional-Outreach) starten;E-Mail Outreach;Hoch;1 Tag vorher;Offen;Kampagne an Adressen Freiburg, Karlsruhe, Salzburg, CH senden.
2026-08-20;11:00;LinkedIn organische Akquise-Anfragen (5 pro Tag);LinkedIn;Mittel;1 Tag vorher;Offen;Vernetzungsanfragen mit Vorlage A senden.
2026-08-25;08:30;openPR Pressemitteilung 2/6 veröffentlichen;openPR Portal;Hoch;1 Tag vorher;Offen;Meldung: Wissenstransfer im Außendienst: Wie der tele-PUNKT dem Fachkräftemangel trotzt.
2026-10-12;10:00;5 Kunden für OMR Reviews & Capterra 5-Sterne anfragen;Reviews & Trust;Hoch;1 Tag vorher;Offen;5 glücklichste Kunden gezielt für OMR Reviews / Capterra Bewertungen anschreiben.
